text,category
jalan berlubang sangat besar berbahaya,infrastruktur
lampu jalan mati sudah seminggu gelap,infrastruktur
jembatan retak khawatir roboh bahaya,infrastruktur
trotoar rusak tidak bisa dilewati pejalan kaki,infrastruktur
gorong gorong tersumbat banjir setiap hujan,infrastruktur
jalan aspal mengelupas tidak rata,infrastruktur
lampu traffic light rusak macet parah,infrastruktur
pagar jembatan patah berbahaya pengendara,infrastruktur
jalan berlubang bikin ban motor pecah,infrastruktur
lampu penerangan jalan padam minggu ini,infrastruktur
jembatan penyeberangan rusak tidak aman,infrastruktur
drainase jalan tersumbat genangan air,infrastruktur
jalan retak retak membahayakan kendaraan,infrastruktur
rambu lalu lintas hilang rawan kecelakaan,infrastruktur
trotoar amblas membahayakan pejalan kaki,infrastruktur
lubang jalan besar sudah lama tidak diperbaiki,infrastruktur
lampu jalan banyak mati lingkungan gelap,infrastruktur
jalan rusak parah sulit dilalui kendaraan,infrastruktur
jembatan kayu lapuk berbahaya masyarakat,infrastruktur
marka jalan hilang membingungkan pengendara,infrastruktur
jalan berdebu saat musim kemarau,infrastruktur
gorong gorong rusak air meluap,infrastruktur
lampu merah tidak berfungsi bahaya kecelakaan,infrastruktur
jalan berlubang depan sekolah berbahaya anak,infrastruktur
trotoar dipenuhi pedagang tidak bisa lewat,infrastruktur
jalan sempit sulit dilalui mobil,infrastruktur
lampu pju mati total kelurahan gelap,infrastruktur
jembatan sempit rawan kecelakaan motor,infrastruktur
jalan pecah banyak kerikil tajam,infrastruktur
drainage mampet banjir rob air laut,infrastruktur
jalan tanah berlumpur musim hujan susah,infrastruktur
lampu jalan kabur tidak terang malam,infrastruktur
jembatan tidak ada pagar bahaya jatuh,infrastruktur
jalan bergelombang bikin kendaraan rusak,infrastruktur
rambu peringatan tidak ada tikungan tajam,infrastruktur
trotoar tinggi sulit naik turun lansia,infrastruktur
jalan rusak ambulance susah lewat darurat,infrastruktur
lampu jalan sering mati hidup tidak stabil,infrastruktur
jembatan besi berkarat mengkhawatirkan roboh,infrastruktur
jalan berkelok tidak ada lampu gelap,infrastruktur
gorong gorong jebol air meluber jalan,infrastruktur
jalan berlubang motor jatuh kecelakaan,infrastruktur
lampu jalan rusak rawan kejahatan malam,infrastruktur
jembatan kayu rapuh goyang dilalui,infrastruktur
jalan retak lebar seperti mau amblas,infrastruktur
marka zebra cross hilang bahaya penyeberang,infrastruktur
trotoar pecah banyak lubang kecil,infrastruktur
jalan cor beton retak tidak rata,infrastruktur
lampu jalan tertutup pohon tidak berfungsi,infrastruktur
jembatan sempit hanya muat satu kendaraan,infrastruktur
rumah sakit penuh pasien tidak tertangani,kesehatan
dokter tidak ada pelayanan sangat buruk,kesehatan
obat habis tidak tersedia puskesmas,kesehatan
antrian puskesmas sangat lama berjam jam,kesehatan
fasilitas kesehatan kotor tidak layak pakai,kesehatan
tenaga medis kurang tidak mencukupi,kesehatan
vaksin kosong tidak ada stok anak,kesehatan
peralatan medis rusak tidak berfungsi,kesehatan
ruang tunggu penuh tidak nyaman pasien,kesehatan
bpjs ditolak rumah sakit swasta,kesehatan
puskesmas tutup saat jam kerja,kesehatan
dokter jaga tidak ada malam hari,kesehatan
obat murah tidak tersedia harus beli mahal,kesehatan
ruang rawat inap penuh pasien ditolak,kesehatan
perawat tidak ramah kasar pasien,kesehatan
alat usg rusak tidak bisa periksa,kesehatan
ambulance rusak tidak bisa digunakan,kesehatan
toilet rumah sakit kotor bau menyengat,kesehatan
tempat tidur pasien kurang harus berbagi,kesehatan
dokter spesialis jarang praktek susah,kesehatan
obat kadaluarsa masih diberikan pasien,kesehatan
ruang isolasi tidak layak bocor atap,kesehatan
suster galak tidak membantu pasien,kesehatan
resep obat salah bahaya kesalahan medis,kesehatan
puskesmas jauh susah dijangkau warga,kesehatan
imunisasi bayi terlambat vaksin kosong,kesehatan
ruang bersalin kotor tidak steril,kesehatan
dokter umum tidak kompeten salah diagnosis,kesehatan
obat generik tidak ada harus branded,kesehatan
lab kesehatan rusak tidak bisa cek,kesehatan
pasien diusir belum sembuh total,kesehatan
layanan gawat darurat lambat tidak siaga,kesehatan
posyandu tidak aktif bayi tidak tertangani,kesehatan
dokter datang terlambat jam praktek,kesehatan
peralatan rontgen rusak tidak bisa xray,kesehatan
rumah sakit rujukan menolak pasien miskin,kesehatan
obat untuk lansia tidak ada stok,kesehatan
ruang tunggu panas tidak ada ac,kesehatan
perawat kurang perhatian pasien terlantar,kesehatan
alat tensi rusak tidak akurat,kesehatan
puskesmas tidak buka hari libur darurat,kesehatan
dokter gigi tidak ada sakit gigi,kesehatan
obat injeksi habis pasien harus beli,kesehatan
ruang operasi kotor tidak steril,kesehatan
ambulance lama datang pasien meninggal,kesehatan
bidan desa tidak ada ibu melahirkan,kesehatan
peralatan kesehatan tua tidak modern,kesehatan
dokter malas memeriksa asal asalan,kesehatan
obat hipertensi kosong tidak tersedia,kesehatan
ruang icu penuh pasien kritis ditolak,kesehatan
sampah menumpuk tidak diangkut berhari hari,kebersihan
got mampet banjir bau busuk menyengat,kebersihan
tempat sampah penuh meluber kemana mana,kebersihan
banyak sampah berserakan taman kota kotor,kebersihan
truk sampah tidak lewat sudah seminggu,kebersihan
tpa sampah penuh luber bau menyebar,kebersihan
selokan tersumbat sampah air tergenang,kebersihan
tikus banyak berkeliaran tempat sampah,kebersihan
sampah plastik menggunung dipinggir jalan,kebersihan
bak sampah rusak tidak ada tutup,kebersihan
petugas sampah jarang lewat menumpuk,kebersihan
got penuh sampah banjir setiap hujan,kebersihan
tempat pembuangan liar sampah dimana mana,kebersihan
lalat banyak sampah tidak diangkut,kebersihan
sampah organik membusuk bau tidak tertahankan,kebersihan
drainase kotor tersumbat sampah daun,kebersihan
